"Book title;Average of Rating;Main Genre;Sub Genre"
"Harry Potter and the Half-Blood Prince (Harry Potter  #6);4,57;Fantasy;Young Adult"
"Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1);4,5;Graphic Novel;Anime"
"Harry Potter and the Order of the Phoenix (Harry Potter  #5);4,49;Fantasy;Young Adult"
"Lover Awakened (Black Dagger Brotherhood  #3);4,45;Paranormal;Romance"
"A Breath of Snow and Ashes (Outlander  #6);4,44;Historical Fiction;Romance"
"Death Note  Vol. 1: Boredom (Death Note  #1);4,43;Graphic Novel;Anime"
"The Book Thief;4,37;Historical Fiction;Young Adult"
"Lover Eternal (Black Dagger Brotherhood  #2);4,35;Paranormal;Romance"
"Lover Revealed (Black Dagger Brotherhood  #4);4,3;Paranormal;Romance"
"Team of Rivals: The Political Genius of Abraham Lincoln;4,28;Nonfiction;Biography"
"The Fiery Cross (Outlander  #5);4,27;Historical Fiction;Romance"
"The Glass Castle;4,27;Nonfiction;Biography"
"Lamb: The Gospel According to Biff  Christ's Childhood Pal;4,25;Historical Fiction;Humor"
"Persepolis: The Story of a Childhood (Persepolis  #1);4,25;Graphic Novel;Biography"
"The Lightning Thief (Percy Jackson and the Olympians  #1);4,25;Fantasy;Young Adult"
"The Sea of Monsters (Percy Jackson and the Olympians  #2);4,24;Fantasy;Young Adult"
"Bleach  Volume 01;4,22;Graphic Novel;Anime"
"A Short History of Nearly Everything;4,21;Nonfiction;Science"
"Dark Lover (Black Dagger Brotherhood  #1);4,2;Paranormal;Romance"
"Hot Six (Stephanie Plum  #6);4,19;Mystery;Humor"
"Mystic River;4,18;Mystery;Thriller"
"The Amazing Adventures of Kavalier & Clay;4,18;Historical fiction;Novel"
"Wolves of the Calla (The Dark Tower  #5);4,18;Fantasy;Horror"
"Hard Eight (Stephanie Plum  #8);4,17;Mystery;Humor"
"Scott Pilgrim  Volume 1: Scott Pilgrim's Precious Little Life;4,17;Graphic Novel;Young Adult"
"Suzanne's Diary for Nicholas;4,17;Contemporary;Romance"
"A Long Way Gone: Memoirs of a Boy Soldier;4,16;Nonfiction;Biography"
"Seven Up (Stephanie Plum  #7);4,16;Mystery;Humor"
"School's Out—Forever (Maximum Ride  #2);4,15;Fantasy;Young Adult"
"The Guardian;4,15;Contemporary;Romance"
"Kafka on the Shore;4,14;Fantasy;Magical Realism"
"No Country for Old Men;4,14;Mystery;Thriller"
"Marley and Me: Life and Love With the World's Worst Dog;4,13;Nonfiction;Biography"
"Nineteen Minutes;4,12;Mystery;Young Adult"
"American Gods (American Gods  #1);4,11;Fantasy;Science Fiction"
"Einstein: His Life and Universe;4,11;Nonfiction;Biography"
"The Rescue;4,11;Contemporary;Romance"
"Fablehaven (Fablehaven  #1);4,1;Fantasy;Young Adult"
"For One More Day;4,1;Contemporary;Adult Fiction"
"Shutter Island;4,09;Mystery;Thriller"
"The Amber Spyglass  (His Dark Materials  #3);4,09;Fantasy;Young Adult"
"Water for Elephants;4,09;Historical Fiction;Romance"
"1st to Die (Women's Murder Club  #1);4,08;Mystery;Thriller"
"The Angel Experiment (Maximum Ride  #1);4,08;Fantasy;Young Adult"
"1776;4,07;Nonfiction;History"
"I Am the Messenger;4,07;Mystery;Young Adult"
"Kitchen Confidential: Adventures in the Culinary Underbelly;4,07;Nonfiction;Biography"
"My Sister's Keeper;4,07;Contemporary;Young Adult"
"Snow Flower and the Secret Fan;4,07;Historical Fiction;Adult Fiction"
